Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1470.369995,1478.449951,1448.640015,1473.660034,1473.660034,0
2019-01-03,1473.069946,1473.069946,1436.810059,1438.760010,1438.760010,0
2019-01-04,1440.420044,1492.069946,1440.420044,1488.530029,1488.530029,0
2019-01-07,1489.420044,1510.689941,1486.170044,1501.329956,1501.329956,0
2019-01-08,1505.130005,1518.699951,1500.469971,1517.140015,1517.140015,0
2019-01-09,1517.819946,1529.660034,1515.170044,1524.619995,1524.619995,0
2019-01-10,1522.880005,1532.310059,1511.319946,1531.829956,1531.829956,0
2019-01-11,1530.189941,1531.880005,1521.199951,1531.880005,1531.880005,0
2019-01-14,1531.000000,1531.000000,1517.280029,1523.010010,1523.010010,0
2019-01-15,1523.349976,1539.790039,1523.349976,1538.770020,1538.770020,0
2019-01-16,null,null,null,null,null,null
2019-01-17,1542.739990,1560.619995,1537.780029,1555.349976,1555.349976,0
2019-01-18,1555.900024,1578.140015,1555.900024,1575.359985,1575.359985,0
2019-01-22,1573.829956,1573.829956,1544.060059,1552.670044,1552.670044,0
2019-01-23,1553.859985,1564.300049,1540.619995,1555.099976,1555.099976,0
2019-01-24,1555.739990,1560.969971,1550.199951,1558.880005,1558.880005,0
2019-01-25,1560.280029,1576.589966,1560.280029,1573.310059,1573.310059,0
2019-01-28,null,null,null,null,null,null
2019-01-29,1561.949951,1565.709961,1555.069946,1559.729980,1559.729980,0
2019-01-30,1563.800049,1588.300049,1563.619995,1583.040039,1583.040039,0
2019-01-31,1582.680054,1599.119995,1580.859985,1596.540039,1596.540039,0
2019-02-01,1596.569946,1603.800049,1593.310059,1599.069946,1599.069946,0
2019-02-04,1599.010010,1610.520020,1595.030029,1610.510010,1610.510010,0
2019-02-05,1610.939941,1618.579956,1610.010010,1617.800049,1617.800049,0
2019-02-06,1617.069946,1618.199951,1609.670044,1614.280029,1614.280029,0
2019-02-07,1613.099976,1613.099976,1588.719971,1599.969971,1599.969971,0
2019-02-08,1596.959961,1601.199951,1586.310059,1601.140015,1601.140015,0
2019-02-11,1601.650024,1607.170044,1600.069946,1603.699951,1603.699951,0
2019-02-12,1604.079956,1625.839966,1604.079956,1624.199951,1624.199951,0
2019-02-13,1625.000000,1633.420044,1625.000000,1629.010010,1629.010010,0
2019-02-14,1628.150024,1632.310059,1616.939941,1625.479980,1625.479980,0
2019-02-15,1627.709961,1643.500000,1627.709961,1643.449951,1643.449951,0
2019-02-19,1643.160034,1650.459961,1639.030029,1646.109985,1646.109985,0
2019-02-20,1645.890015,1651.599976,1643.260010,1649.109985,1649.109985,0
2019-02-21,1648.300049,1648.300049,1637.410034,1643.229980,1643.229980,0
2019-02-22,1643.949951,1655.069946,1643.949951,1654.540039,1654.540039,0
2019-02-25,1656.410034,1666.930054,1655.930054,1656.439941,1656.439941,0
2019-02-26,null,null,null,null,null,null
2019-02-27,1652.979980,1655.770020,1644.050049,1654.160034,1654.160034,0
2019-02-28,1653.380005,1654.849976,1648.339966,1649.219971,1649.219971,0
2019-03-01,1650.189941,1662.719971,1650.189941,1660.609985,1660.609985,0
2019-03-04,null,null,null,null,null,null
2019-03-05,1653.060059,1654.170044,1646.569946,1650.260010,1650.260010,0
2019-03-06,null,null,null,null,null,null
2019-03-07,1637.109985,1637.109985,1618.819946,1624.060059,1624.060059,0
2019-03-08,1623.339966,1623.339966,1609.140015,1620.699951,1620.699951,0
2019-03-11,1621.900024,1644.959961,1621.900024,1644.869995,1644.869995,0
2019-03-12,1645.510010,1653.500000,1645.510010,1649.469971,1649.469971,0
2019-03-13,1650.699951,1666.180054,1650.699951,1660.250000,1660.250000,0
2019-03-14,1660.959961,1661.869995,1655.780029,1658.359985,1658.359985,0
2019-03-15,1659.859985,1671.180054,1659.859985,1665.839966,1665.839966,0
2019-03-18,1666.569946,1674.439941,1665.660034,1672.589966,1672.589966,0
2019-03-19,1673.349976,1682.630005,1666.219971,1671.180054,1671.180054,0
2019-03-20,1670.760010,1677.239990,1658.229980,1665.250000,1665.250000,0
2019-03-21,null,null,null,null,null,null
2019-03-22,1683.479980,1683.479980,1648.949951,1649.050049,1649.050049,0
2019-03-25,null,null,null,null,null,null
2019-03-26,1650.170044,1667.209961,1650.170044,1660.599976,1660.599976,0
2019-03-27,null,null,null,null,null,null
2019-03-28,1653.630005,1662.109985,1649.609985,1660.030029,1660.030029,0
2019-03-29,null,null,null,null,null,null
2019-04-01,1672.709961,1691.250000,1672.709961,1690.180054,1690.180054,0
2019-04-02,1690.380005,1691.239990,1684.510010,1689.890015,1689.890015,0
2019-04-03,1693.109985,1701.180054,1689.589966,1694.329956,1694.329956,0
2019-04-04,1694.329956,1698.609985,1689.839966,1697.430054,1697.430054,0
2019-04-05,1697.849976,1706.469971,1697.849976,1706.280029,1706.280029,0
2019-04-08,1705.729980,1707.709961,1698.660034,1707.670044,1707.670044,0
2019-04-09,null,null,null,null,null,null
2019-04-10,1696.729980,1704.880005,1696.729980,1704.270020,1704.270020,0
2019-04-11,null,null,null,null,null,null
2019-04-12,1705.819946,1716.969971,1705.819946,1715.420044,1715.420044,0
2019-04-15,1715.410034,1716.640015,1708.890015,1713.869995,1713.869995,0
2019-04-16,1714.650024,1719.750000,1711.079956,1714.660034,1714.660034,0
2019-04-17,null,null,null,null,null,null
2019-04-18,1708.819946,1712.609985,1702.819946,1710.969971,1710.969971,0
2019-04-22,1710.420044,1712.689941,1706.010010,1711.869995,1711.869995,0
2019-04-23,1712.030029,1729.719971,1712.030029,1728.430054,1728.430054,0
2019-04-24,1728.380005,1731.130005,1724.680054,1725.520020,1725.520020,0
2019-04-25,null,null,null,null,null,null
2019-04-26,1723.280029,1732.430054,1719.099976,1732.430054,1732.430054,0
2019-04-29,1732.339966,1738.560059,1732.339966,1734.709961,1734.709961,0
2019-04-30,null,null,null,null,null,null
2019-05-01,1738.589966,1740.030029,1722.130005,1722.229980,1722.229980,0
2019-05-02,1722.069946,1727.449951,1708.739990,1719.630005,1719.630005,0
2019-05-03,1720.719971,1738.369995,1720.719971,1737.949951,1737.949951,0
2019-05-06,1735.459961,1735.459961,1713.270020,1731.209961,1731.209961,0
2019-05-07,1729.369995,1729.369995,1689.560059,1701.829956,1701.829956,0
2019-05-08,1701.589966,1709.410034,1696.020020,1698.729980,1698.729980,0
2019-05-09,1698.430054,1698.430054,1673.040039,1693.880005,1693.880005,0
2019-05-10,1693.880005,1705.089966,1667.630005,1699.780029,1699.780029,0
2019-05-13,1699.760010,1699.760010,1651.209961,1656.760010,1656.760010,0
2019-05-14,null,null,null,null,null,null
2019-05-15,1671.040039,1684.959961,1660.170044,1680.910034,1680.910034,0
2019-05-16,1680.910034,1704.760010,1680.910034,1695.599976,1695.599976,0
2019-05-17,1694.900024,1699.910034,1682.290039,1683.930054,1683.930054,0
2019-05-20,1678.310059,1679.630005,1667.150024,1672.089966,1672.089966,0
2019-05-21,null,null,null,null,null,null
2019-05-22,1685.729980,1686.239990,1678.589966,1681.550049,1681.550049,0
2019-05-23,1674.369995,1674.369995,1650.589966,1659.900024,1659.900024,0
2019-05-24,1663.589966,1671.489990,1659.520020,1663.359985,1663.359985,0
2019-05-28,1664.250000,1671.689941,1649.500000,1649.750000,1649.750000,0
2019-05-29,1649.599976,1649.599976,1628.250000,1638.060059,1638.060059,0
2019-05-30,1639.260010,1647.599976,1633.770020,1640.689941,1640.689941,0
2019-05-31,1635.949951,1635.949951,1618.069946,1619.719971,1619.719971,0
2019-06-03,1620.020020,1626.689941,1607.219971,1616.079956,1616.079956,0
2019-06-04,null,null,null,null,null,null
2019-06-05,1655.219971,1664.579956,1649.069946,1664.119995,1664.119995,0
2019-06-06,1664.859985,1671.760010,1660.839966,1670.170044,1670.170044,0
2019-06-07,1674.459961,1695.869995,1674.459961,1689.430054,1689.430054,0
2019-06-10,1690.420044,1708.760010,1690.420044,1697.869995,1697.869995,0
2019-06-11,1698.040039,1711.569946,1692.290039,1696.609985,1696.609985,0
2019-06-12,1696.479980,1697.890015,1690.280029,1693.520020,1693.520020,0
2019-06-13,1693.540039,1702.650024,1693.540039,1701.400024,1701.400024,0
2019-06-14,null,null,null,null,null,null
2019-06-17,1697.250000,1703.890015,1697.250000,1699.550049,1699.550049,0
2019-06-18,1699.599976,1724.459961,1699.599976,1716.469971,1716.469971,0
2019-06-19,1717.280029,1724.790039,1713.630005,1722.069946,1722.069946,0
2019-06-20,1727.469971,1739.430054,1724.819946,1737.390015,1737.390015,0
2019-06-21,1736.920044,1741.189941,1731.280029,1733.449951,1733.449951,0
2019-06-24,1734.040039,1735.619995,1727.560059,1728.079956,1728.079956,0
2019-06-25,1728.500000,1728.829956,1711.500000,1712.109985,1712.109985,0
2019-06-26,1714.219971,1721.339966,1711.819946,1713.660034,1713.660034,0
2019-06-27,null,null,null,null,null,null
2019-06-28,1720.829956,1732.069946,1720.829956,1730.900024,1730.900024,0
2019-07-01,null,null,null,null,null,null
2019-07-02,1743.530029,1747.170044,1738.369995,1747.089966,1747.089966,0
2019-07-03,1748.000000,1760.760010,1748.000000,1760.760010,1760.760010,0
2019-07-05,1760.010010,1760.119995,1744.699951,1758.530029,1758.530029,0
2019-07-08,1756.599976,1756.599976,1745.900024,1749.050049,1749.050049,0
2019-07-09,1747.439941,1753.030029,1742.500000,1752.000000,1752.000000,0
2019-07-10,1753.520020,1765.079956,1753.520020,1759.130005,1759.130005,0
2019-07-11,1759.410034,1763.859985,1755.500000,1761.920044,1761.920044,0
2019-07-12,1762.579956,1771.010010,1762.579956,1770.800049,1770.800049,0
2019-07-15,1771.449951,1773.250000,1767.239990,1770.420044,1770.420044,0
2019-07-16,null,null,null,null,null,null
2019-07-17,1765.119995,1765.400024,1753.920044,1754.000000,1754.000000,0
2019-07-18,1753.619995,1762.030029,1747.750000,1760.160034,1760.160034,0
2019-07-19,1762.810059,1766.390015,1749.250000,1749.489990,1749.489990,0
2019-07-22,1751.719971,1756.839966,1749.650024,1753.660034,1753.660034,0
2019-07-23,1755.310059,1765.709961,1755.310059,1765.609985,1765.609985,0
2019-07-24,1764.959961,1776.430054,1761.099976,1776.430054,1776.430054,0
2019-07-25,1776.219971,1776.219971,1762.709961,1765.569946,1765.569946,0
2019-07-26,1765.339966,1780.810059,1765.339966,1779.479980,1779.479980,0
2019-07-29,1779.579956,1779.579956,1771.050049,1775.280029,1775.280029,0
2019-07-30,1774.099976,1774.810059,1763.939941,1773.040039,1773.040039,0
2019-07-31,1772.969971,1776.420044,1742.729980,1754.650024,1754.650024,0
2019-08-01,1754.359985,1773.099976,1732.810059,1737.489990,1737.489990,0
2019-08-02,1737.359985,1737.359985,1712.699951,1723.310059,1723.310059,0
2019-08-05,1721.640015,1721.640015,1658.199951,1671.770020,1671.770020,0
2019-08-06,1672.199951,1694.689941,1672.199951,1693.359985,1693.359985,0
2019-08-07,1692.920044,1699.569946,1662.030029,1695.099976,1695.099976,0
2019-08-08,1696.479980,1728.109985,1696.479980,1727.680054,1727.680054,0
2019-08-09,1726.420044,1726.420044,1705.469971,1714.969971,1714.969971,0
2019-08-12,1714.609985,1714.609985,1694.510010,1694.510010,1694.510010,0
2019-08-13,null,null,null,null,null,null
2019-08-14,1716.859985,1716.859985,1667.189941,1667.579956,1667.579956,0
2019-08-15,1667.689941,1675.819946,1658.660034,1670.520020,1670.520020,0
2019-08-16,1671.339966,1698.530029,1671.339966,1695.920044,1695.920044,0
2019-08-19,1698.949951,1719.859985,1698.949951,1715.459961,1715.459961,0
2019-08-20,1715.359985,1715.359985,1702.010010,1702.469971,1702.469971,0
2019-08-21,1703.010010,1718.900024,1703.010010,1716.560059,1716.560059,0
2019-08-22,1717.030029,1724.589966,1705.250000,1715.410034,1715.410034,0
2019-08-23,1714.290039,1717.430054,1664.439941,1670.739990,1670.739990,0
2019-08-26,1671.560059,1688.920044,1671.560059,1688.439941,1688.439941,0
2019-08-27,1690.969971,1700.010010,1676.670044,1681.170044,1681.170044,0
2019-08-28,1681.119995,1693.650024,1672.619995,1692.369995,1692.369995,0
2019-08-29,1697.050049,1717.709961,1697.050049,1714.430054,1714.430054,0
2019-08-30,1716.290039,1723.349976,1707.400024,1715.239990,1715.239990,0
2019-09-03,1714.479980,1714.479980,1695.189941,1701.979980,1701.979980,0
2019-09-04,1704.119995,1720.589966,1704.119995,1720.119995,1720.119995,0
2019-09-05,1724.390015,1748.400024,1724.390015,1742.900024,1742.900024,0
2019-09-06,1743.560059,1748.060059,1741.150024,1743.609985,1743.609985,0
2019-09-09,1745.219971,1749.119995,1738.510010,1744.380005,1744.380005,0
2019-09-10,1743.500000,1743.839966,1731.839966,1741.910034,1741.910034,0
2019-09-11,1746.449951,1761.069946,1744.489990,1761.060059,1761.060059,0
2019-09-12,1761.160034,1771.339966,1759.900024,1765.319946,1765.319946,0
2019-09-13,1765.790039,1770.319946,1761.550049,1763.900024,1763.900024,0
2019-09-16,1760.479980,1762.469971,1755.109985,1760.699951,1760.699951,0
2019-09-17,1760.369995,1764.729980,1757.689941,1764.500000,1764.500000,0
2019-09-18,1763.290039,1764.219971,1747.760010,1763.780029,1763.780029,0
2019-09-19,1764.790039,1773.099976,1761.400024,1763.280029,1763.280029,0
2019-09-20,1763.359985,1768.599976,1751.229980,1755.310059,1755.310059,0
2019-09-23,1753.319946,1758.719971,1749.209961,1755.209961,1755.209961,0
2019-09-24,1757.520020,1763.900024,1733.939941,1738.680054,1738.680054,0
2019-09-25,1738.770020,1752.969971,1731.500000,1750.189941,1750.189941,0
2019-09-26,1750.530029,1750.530029,1737.050049,1744.530029,1744.530029,0
2019-09-27,1745.500000,1749.510010,1725.089966,1734.000000,1734.000000,0
2019-09-30,1736.119995,1746.640015,1736.119995,1742.699951,1742.699951,0
2019-10-01,1743.140015,1752.160034,1719.329956,1720.119995,1720.119995,0
2019-10-02,1719.959961,1719.959961,1683.280029,1691.050049,1691.050049,0
2019-10-03,1689.969971,1704.709961,1672.609985,1704.489990,1704.489990,0
2019-10-04,1706.030029,1728.599976,1706.030029,1727.869995,1727.869995,0
2019-10-07,1726.310059,1732.449951,1718.689941,1720.849976,1720.849976,0
2019-10-08,1719.609985,1719.609985,1693.189941,1693.280029,1693.280029,0
2019-10-09,1698.650024,1713.859985,1698.650024,1708.219971,1708.219971,0
2019-10-10,1708.459961,1724.300049,1707.420044,1718.369995,1718.369995,0
2019-10-11,1720.020020,1751.750000,1720.020020,1738.619995,1738.619995,0
2019-10-14,1736.540039,1739.099976,1733.920044,1735.819946,1735.819946,0
2019-10-15,1738.780029,1757.270020,1738.780029,1752.959961,1752.959961,0
2019-10-16,1751.530029,1753.469971,1746.290039,1748.900024,1748.900024,0
2019-10-17,1754.099976,1760.229980,1751.650024,1755.150024,1755.150024,0
2019-10-18,1754.729980,1755.510010,1741.520020,1748.069946,1748.069946,0
2019-10-21,1750.780029,1760.369995,1750.780029,1759.739990,1759.739990,0
2019-10-22,1760.800049,1764.270020,1753.420044,1753.849976,1753.849976,0
2019-10-23,1752.329956,1758.489990,1750.849976,1758.390015,1758.390015,0
2019-10-24,1763.760010,1765.890015,1756.599976,1759.130005,1759.130005,0
2019-10-25,1759.010010,1773.170044,1758.810059,1770.319946,1770.319946,0
2019-10-28,1773.670044,1783.599976,1773.670044,1780.650024,1780.650024,0
2019-10-29,1779.630005,1785.260010,1777.579956,1779.619995,1779.619995,0
2019-10-30,1780.219971,1786.250000,1773.939941,1784.630005,1784.630005,0
2019-10-31,1784.109985,1784.150024,1769.829956,1778.199951,1778.199951,0
2019-11-01,1784.349976,1796.770020,1784.349976,1796.770020,1796.770020,0
2019-11-04,1802.150024,1807.250000,1801.459961,1803.439941,1803.439941,0
2019-11-05,1803.839966,1807.500000,1800.339966,1801.510010,1801.510010,0
2019-11-06,1801.520020,1801.849976,1795.630005,1801.349976,1801.349976,0
2019-11-07,1806.079956,1813.670044,1803.489990,1806.319946,1806.319946,0
2019-11-08,1804.920044,1811.449951,1800.089966,1811.449951,1811.449951,0
2019-11-11,1806.680054,1809.099976,1801.400024,1808.479980,1808.479980,0
2019-11-12,1809.420044,1817.609985,1807.489990,1811.050049,1811.050049,0
2019-11-13,1807.260010,1814.170044,1803.319946,1811.760010,1811.760010,0
2019-11-14,1809.569946,1814.219971,1806.589966,1813.400024,1813.400024,0
2019-11-15,1816.569946,1827.109985,1816.569946,1827.109985,1827.109985,0
2019-11-18,1825.900024,1828.910034,1822.199951,1827.709961,1827.709961,0
2019-11-19,1829.469971,1831.319946,1823.510010,1827.890015,1827.890015,0
2019-11-20,1825.150024,1828.219971,1811.780029,1821.750000,1821.750000,0
2019-11-21,1822.130005,1822.500000,1813.680054,1817.880005,1817.880005,0
2019-11-22,1820.739990,1823.250000,1815.500000,1821.989990,1821.989990,0
2019-11-25,1825.560059,1838.030029,1825.560059,1837.920044,1837.920044,0
2019-11-26,null,null,null,null,null,null
2019-11-27,1844.180054,1850.459961,1844.180054,1850.219971,1850.219971,0
2019-11-29,1847.900024,1847.969971,1841.229980,1842.050049,1842.050049,0
2019-12-02,1842.989990,1843.910034,1824.239990,1825.530029,1825.530029,0
2019-12-03,1822.780029,1822.780029,1800.890015,1814.410034,1814.410034,0
2019-12-04,1817.630005,1829.489990,1817.630005,1825.479980,1825.479980,0
2019-12-05,1827.510010,1829.239990,1820.520020,1827.760010,1827.760010,0
2019-12-06,1831.020020,1847.369995,1831.020020,1844.439941,1844.439941,0
2019-12-09,1842.430054,1845.939941,1838.560059,1838.569946,1838.569946,0
2019-12-10,1838.579956,1841.869995,1833.689941,1836.729980,1836.729980,0
2019-12-11,1838.250000,1842.510010,1836.489990,1841.250000,1841.250000,0
2019-12-12,1840.910034,1861.060059,1839.439941,1856.280029,1856.280029,0
2019-12-13,1855.619995,1864.300049,1848.780029,1855.750000,1855.750000,0
2019-12-16,1862.780029,1873.479980,1862.780029,1869.310059,1869.310059,0
2019-12-17,1869.959961,1873.020020,1868.920044,1870.479980,1870.479980,0
2019-12-18,1872.020020,1873.949951,1869.810059,1870.290039,1870.290039,0
2019-12-19,1871.069946,1878.660034,1871.069946,1878.650024,1878.650024,0
2019-12-20,1882.079956,1889.920044,1881.619995,1887.819946,1887.819946,0
2019-12-23,1889.489990,1891.459961,1888.550049,1889.469971,1889.469971,0
2019-12-24,1890.479980,1890.979980,1887.780029,1889.630005,1889.630005,0
2019-12-26,1892.130005,1898.329956,1892.130005,1898.239990,1898.239990,0
2019-12-27,1901.510010,1903.050049,1894.109985,1897.239990,1897.239990,0
2019-12-30,1897.250000,1897.609985,1883.609985,1886.660034,1886.660034,0
2019-12-31,1882.849976,1892.719971,1881.449951,1892.250000,1892.250000,0
2020-01-02,1898.469971,1906.650024,1893.540039,1906.500000,1906.500000,0
2020-01-03,1898.089966,1900.459961,1889.489990,1894.530029,1894.530029,0
2020-01-06,1885.390015,1900.989990,1883.300049,1900.900024,1900.900024,0
2020-01-07,1899.050049,1900.219971,1893.150024,1896.010010,1896.010010,0
